id,nama_property,lokasi,tipe,luas_m2,harga_sewa_bulan,fasilitas,jarak_ke_mrt_km,rating_review
194,Tower Thamrin B,Jakarta Pusat,3BR,105.0,13100000,"Furnished, Gym, Laundry, Parkir",10.77,3.6
195,Suites Cervino A,Jakarta Barat,1BR,37.4,5000000,"AC, Akses Kartu, Parkir",7.33,4.6
196,Tower Thamrin I,Jakarta Timur,3BR,90.1,8930000,"Akses Kartu, Furnished, Kolam Renang",7.69,4.7
197,Tower Menteng A,Tangerang,2BR,59.1,5690000,"Gym, Kolam Renang, Taman Bermain",5.71,4.8
198,Apartemen Cikini B,Tangerang,2BR,62.0,7000000,"Akses Kartu, Gym, Keamanan 24 Jam, Kolam Renang, Laundry, Minimarket",5.04,4.9
199,Apartemen Kelapa Gading A,Jakarta Pusat,2BR,53.7,10300000,"AC, Laundry, Parkir",8.2,4.8
200,Apartemen Kuningan I,Jakarta Barat,3BR,104.8,7440000,"Furnished, Gym, Keamanan 24 Jam, Kolam Renang",8.03,4.9
201,Tower Cikini A,Jakarta Utara,1BR,34.3,5370000,"Furnished, Kolam Renang, Laundry",10.49,3.5
202,Apartemen Green Bay A,Jakarta Barat,3BR,94.6,9880000,"AC, Furnished, Keamanan 24 Jam, Laundry",6.05,3.5
203,Tower Kelapa Gading I,Jakarta Selatan,Studio,28.3,3050000,"Gym, Keamanan 24 Jam, Kolam Renang, Laundry",4.43,4.8
204,Suites Senayan I,Depok,2BR,68.9,7290000,"Keamanan 24 Jam, Kolam Renang, Parkir",1.52,4.7
205,Kost Eksklusif Tebet B,Jakarta Utara,2BR,43.0,6830000,"AC, Keamanan 24 Jam, Minimarket, Parkir, Taman Bermain",4.49,4.5
206,Suites Cervino A,Jakarta Timur,1BR,28.1,4530000,"Akses Kartu, Furnished, Kolam Renang, Laundry, Taman Bermain",2.87,3.4
207,Suites Alam Sutera I,Jakarta Timur,3BR,97.0,7480000,"AC, Gym, Kolam Renang, Laundry, Parkir",11.96,4.9
208,Tower Pluit C,Jakarta Barat,Studio,24.1,3770000,"Keamanan 24 Jam, Laundry, Parkir",4.79,4.9
209,Suites Pondok Indah C,Tangerang,2BR,51.1,7120000,"Gym, Keamanan 24 Jam, Taman Bermain",0.99,3.8
210,Residence Margonda B,Depok,1BR,35.7,4660000,"AC, Keamanan 24 Jam, Kolam Renang",10.24,3.2
211,Kost Eksklusif Kelapa Gading A,Jakarta Timur,2BR,53.9,5200000,"AC, Kolam Renang, Laundry, Minimarket",3.66,3.9
212,Apartemen Menteng I,Jakarta Pusat,Studio,18.1,5810000,"AC, Furnished, Gym, Kolam Renang, Laundry, Taman Bermain",1.66,4.6
213,Residence Alam Sutera B,Jakarta Barat,2BR,44.3,10890000,"Furnished, Kolam Renang, Laundry, Minimarket, Parkir, Taman Bermain",0.7,4.8
214,Suites Kemang A,Jakarta Utara,2BR,55.6,5590000,"AC, Laundry, Minimarket, Taman Bermain",7.41,3.6
215,Kost Eksklusif Tebet C,Jakarta Pusat,3BR,78.0,18370000,"Furnished, Laundry, Minimarket",7.61,4.8
216,Kost Eksklusif Alam Sutera II,Depok,3BR,82.6,7210000,"AC, Kolam Renang, Minimarket",7.21,5.0
217,Residence Kuningan B,Jakarta Pusat,Studio,21.0,3900000,"Furnished, Laundry, Parkir",9.52,4.2
218,Tower Kuningan I,Depok,Studio,26.4,3200000,"AC, Minimarket, Parkir, Taman Bermain",6.86,3.1
219,Tower Kemang A,Jakarta Selatan,1BR,38.2,4600000,"Furnished, Keamanan 24 Jam, Laundry, Taman Bermain",4.05,3.3
220,Residence Grand Galaxy I,Jakarta Pusat,Studio,28.2,5880000,"Akses Kartu, Furnished, Gym, Keamanan 24 Jam, Laundry, Taman Bermain",4.55,4.3
221,Suites Green Bay A,Jakarta Pusat,2BR,47.8,9080000,"AC, Furnished, Keamanan 24 Jam, Kolam Renang, Taman Bermain",3.75,3.4
222,Apartemen Margonda I,Depok,1BR,38.9,3760000,"Furnished, Gym, Keamanan 24 Jam, Parkir, Taman Bermain",6.0,3.0
223,Suites Kuningan I,Jakarta Timur,1BR,39.8,4380000,"Kolam Renang, Laundry, Minimarket",9.47,4.0
224,Apartemen Cervino A,Tangerang,2BR,59.1,5410000,"Gym, Keamanan 24 Jam, Laundry, Minimarket",5.81,3.6
225,Kost Eksklusif Royal Mediterania I,Jakarta Barat,Studio,22.1,4280000,"Akses Kartu, Furnished, Gym",2.01,4.4
226,Tower Cervino B,Tangerang,1BR,38.3,5430000,"AC, Akses Kartu, Furnished, Laundry",0.74,3.2
227,Residence Kuningan C,Tangerang,3BR,75.0,9890000,"Kolam Renang, Laundry, Minimarket, Parkir, Taman Bermain",5.19,5.0
228,Suites Alam Sutera B,Bekasi,Studio,21.7,3290000,"Akses Kartu, Gym, Keamanan 24 Jam, Laundry, Taman Bermain",5.92,3.9
229,Tower Permata I,Jakarta Utara,3BR,95.2,8810000,"Akses Kartu, Gym, Keamanan 24 Jam",3.3,4.9
230,Apartemen Cikini II,Jakarta Timur,Studio,28.1,4140000,"Akses Kartu, Keamanan 24 Jam, Kolam Renang, Minimarket, Parkir, Taman Bermain",5.08,4.8
231,Apartemen Grand Galaxy B,Jakarta Pusat,Studio,29.4,4720000,"Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",2.09,5.0
232,Kost Eksklusif Green Bay II,Jakarta Pusat,2BR,51.2,10770000,"AC, Akses Kartu, Furnished, Kolam Renang, Minimarket, Parkir",1.14,4.6
233,Kost Eksklusif Alam Sutera I,Jakarta Barat,3BR,74.7,11530000,"AC, Gym, Taman Bermain",7.03,3.5
234,Suites Pluit C,Bekasi,3BR,67.4,9200000,"Furnished, Gym, Kolam Renang, Laundry, Minimarket, Taman Bermain",1.81,3.0
235,Suites Margonda C,Jakarta Utara,2BR,49.8,6970000,"AC, Keamanan 24 Jam, Parkir",8.38,4.5
236,Tower Cikini I,Jakarta Barat,1BR,35.5,5780000,"AC, Akses Kartu, Furnished, Gym, Kolam Renang, Minimarket",4.95,3.3
237,Kost Eksklusif Bintaro A,Jakarta Selatan,1BR,31.3,7630000,"Furnished, Keamanan 24 Jam, Kolam Renang, Laundry, Minimarket, Parkir",3.07,4.4
238,Apartemen Cervino A,Jakarta Timur,2BR,57.1,6780000,"Akses Kartu, Furnished, Gym, Keamanan 24 Jam, Laundry, Taman Bermain",11.53,3.8
239,Kost Eksklusif Sudirman B,Jakarta Pusat,1BR,42.6,6840000,"Akses Kartu, Furnished, Gym, Kolam Renang, Parkir, Taman Bermain",3.3,3.5
240,Kost Eksklusif Bintaro II,Jakarta Utara,2BR,54.8,6510000,"AC, Akses Kartu, Furnished, Minimarket, Parkir",4.25,3.2
241,Kost Eksklusif Kelapa Gading A,Depok,2BR,50.4,6780000,"AC, Akses Kartu, Gym, Laundry, Taman Bermain",0.86,4.6
242,Apartemen Green Bay II,Tangerang,2BR,63.8,7890000,"AC, Akses Kartu, Furnished, Laundry, Parkir",7.9,4.6
243,Kost Eksklusif Kuningan C,Depok,1BR,39.7,5100000,"AC, Akses Kartu, Furnished, Keamanan 24 Jam, Laundry",5.76,3.2
244,Tower Grand Galaxy C,Jakarta Pusat,2BR,65.4,10000000,"Furnished, Gym, Minimarket, Parkir, Taman Bermain",11.37,3.7
245,Suites Cikini C,Jakarta Utara,3BR,120.3,10760000,"Gym, Minimarket, Parkir",10.41,3.8
246,Tower Kuningan C,Jakarta Pusat,1BR,44.9,6090000,"Furnished, Keamanan 24 Jam, Kolam Renang, Laundry, Parkir, Taman Bermain",10.72,4.3
247,Suites Tebet I,Jakarta Selatan,3BR,82.8,16150000,"Furnished, Gym, Keamanan 24 Jam, Laundry, Minimarket, Parkir",9.2,3.0
248,Tower Cervino B,Jakarta Timur,2BR,73.3,8570000,"Gym, Kolam Renang, Parkir, Taman Bermain",9.11,3.2
249,Tower Tebet C,Jakarta Utara,1BR,29.1,3610000,"Akses Kartu, Furnished, Gym, Minimarket, Parkir, Taman Bermain",11.39,4.5
250,Apartemen Alam Sutera A,Jakarta Pusat,3BR,66.2,12290000,"Akses Kartu, Keamanan 24 Jam, Taman Bermain",2.61,3.8
251,Suites Bintaro A,Jakarta Utara,Studio,25.1,2600000,"Gym, Kolam Renang, Laundry",1.39,4.1
252,Suites Casablanca II,Bekasi,1BR,31.5,6220000,"AC, Akses Kartu, Keamanan 24 Jam",0.21,4.4
253,Suites Cervino B,Jakarta Barat,2BR,44.0,5430000,"AC, Akses Kartu, Keamanan 24 Jam, Parkir",2.46,3.1
254,Residence Senayan II,Bekasi,1BR,39.7,4700000,"Gym, Minimarket, Taman Bermain",2.89,3.2
255,Apartemen Cervino C,Jakarta Barat,2BR,62.6,6830000,"Gym, Kolam Renang, Laundry, Minimarket, Taman Bermain",11.73,4.6
256,Tower Alam Sutera I,Depok,3BR,113.0,7760000,"Akses Kartu, Keamanan 24 Jam, Kolam Renang",9.12,4.9
257,Residence Casablanca B,Jakarta Utara,Studio,22.5,3190000,"AC, Furnished, Laundry, Minimarket, Parkir, Taman Bermain",1.45,4.4
258,Suites Tebet A,Jakarta Selatan,1BR,29.8,7490000,"AC, Furnished, Gym, Keamanan 24 Jam, Kolam Renang, Laundry",6.87,4.8
259,Residence Tebet C,Bekasi,Studio,18.8,4710000,"Akses Kartu, Furnished, Gym, Parkir",0.25,4.3
260,Suites Kuningan A,Tangerang,1BR,42.3,4900000,"Keamanan 24 Jam, Kolam Renang, Minimarket",11.85,4.5
261,Suites Senayan I,Depok,1BR,33.6,4200000,"AC, Akses Kartu, Gym, Laundry, Parkir, Taman Bermain",6.13,3.9
262,Apartemen Royal Mediterania II,Jakarta Barat,3BR,113.4,7140000,"Akses Kartu, Kolam Renang, Taman Bermain",4.9,4.3
263,Suites Casablanca A,Jakarta Timur,3BR,126.8,11610000,"Akses Kartu, Furnished, Keamanan 24 Jam, Laundry, Minimarket, Taman Bermain",0.75,4.5
264,Apartemen Kuningan I,Jakarta Timur,Studio,22.1,4160000,"Akses Kartu, Furnished, Kolam Renang, Minimarket, Taman Bermain",11.58,3.3
265,Suites Kemang II,Tangerang,Studio,21.1,2890000,"Furnished, Keamanan 24 Jam, Kolam Renang, Minimarket, Parkir, Taman Bermain",1.54,3.2
266,Suites Cikini B,Bekasi,3BR,107.8,14650000,"AC, Akses Kartu, Kolam Renang, Laundry, Parkir, Taman Bermain",1.7,4.4
267,Suites Thamrin B,Jakarta Pusat,1BR,29.8,6800000,"AC, Akses Kartu, Furnished, Keamanan 24 Jam, Laundry, Parkir",3.93,3.8
268,Residence Kuningan II,Jakarta Utara,2BR,64.9,8740000,"AC, Furnished, Minimarket, Parkir",7.63,4.1
269,Apartemen Sudirman I,Depok,Studio,27.1,3620000,"AC, Akses Kartu, Kolam Renang, Laundry, Minimarket, Taman Bermain",7.04,3.3
270,Kost Eksklusif Kemang C,Jakarta Selatan,1BR,32.5,7630000,"AC, Kolam Renang, Laundry, Parkir",8.23,4.6
271,Tower Permata A,Jakarta Barat,1BR,40.6,4900000,"Akses Kartu, Furnished, Kolam Renang, Laundry, Parkir",2.93,3.0
272,Residence Cervino I,Jakarta Utara,1BR,38.5,5450000,"Akses Kartu, Furnished, Laundry, Parkir",10.45,3.4
273,Residence Kuningan II,Jakarta Barat,1BR,44.4,5340000,"AC, Akses Kartu, Laundry",1.52,4.7
274,Kost Eksklusif Permata C,Jakarta Selatan,2BR,56.3,10570000,"AC, Minimarket, Taman Bermain",11.15,3.1
275,Tower Kelapa Gading B,Depok,1BR,44.3,4800000,"Akses Kartu, Kolam Renang, Laundry, Taman Bermain",9.46,4.3
276,Residence Royal Mediterania II,Depok,2BR,50.3,8800000,"Akses Kartu, Furnished, Gym, Keamanan 24 Jam, Kolam Renang, Parkir",7.46,3.5
277,Suites Tebet A,Jakarta Selatan,2BR,53.3,10010000,"AC, Akses Kartu, Furnished, Kolam Renang, Laundry",3.15,3.6
278,Suites Casablanca B,Jakarta Timur,2BR,58.0,8790000,"Akses Kartu, Gym, Parkir",2.09,4.1
279,Tower Permata A,Tangerang,Studio,27.0,2810000,"Akses Kartu, Gym, Kolam Renang, Minimarket, Taman Bermain",5.56,4.1
280,Kost Eksklusif Senayan II,Jakarta Timur,2BR,54.3,6800000,"AC, Gym, Kolam Renang, Laundry, Taman Bermain",4.91,3.1
281,Suites Bintaro A,Jakarta Barat,2BR,72.5,5420000,"AC, Gym, Laundry, Parkir, Taman Bermain",9.46,3.9
282,Kost Eksklusif Thamrin A,Jakarta Timur,1BR,40.7,5490000,"AC, Akses Kartu, Furnished, Keamanan 24 Jam, Kolam Renang",10.21,3.1
283,Residence Royal Mediterania C,Tangerang,Studio,21.7,4000000,"Akses Kartu, Gym, Keamanan 24 Jam, Laundry, Parkir",10.85,3.4
284,Apartemen Menteng II,Jakarta Pusat,Studio,28.2,6110000,"AC, Gym, Taman Bermain",5.59,4.0
285,Suites Margonda II,Depok,2BR,44.5,7620000,"Furnished, Minimarket, Parkir",1.29,4.3
286,Tower Tebet I,Jakarta Pusat,2BR,68.3,10900000,"AC, Furnished, Gym, Laundry",3.83,3.9
287,Apartemen Senayan A,Jakarta Utara,3BR,100.9,8410000,"Akses Kartu, Furnished, Keamanan 24 Jam, Parkir, Taman Bermain",7.32,4.7
288,Residence Pondok Indah II,Jakarta Selatan,3BR,115.0,10510000,"AC, Furnished, Gym, Keamanan 24 Jam, Laundry, Taman Bermain",3.2,4.0
289,Residence Green Bay II,Tangerang,2BR,57.6,7650000,"Akses Kartu, Gym, Keamanan 24 Jam, Minimarket",10.19,4.3
290,Kost Eksklusif Alam Sutera I,Jakarta Pusat,3BR,126.0,9900000,"Furnished, Gym, Kolam Renang, Parkir, Taman Bermain",2.86,3.9
291,Suites Alam Sutera II,Bekasi,Studio,18.5,3800000,"AC, Akses Kartu, Furnished, Keamanan 24 Jam, Parkir",1.33,4.3
292,Kost Eksklusif Thamrin I,Jakarta Barat,2BR,53.2,8630000,"AC, Akses Kartu, Furnished, Kolam Renang, Minimarket",6.24,3.3
293,Apartemen Tebet I,Jakarta Barat,2BR,47.4,5750000,"Furnished, Laundry, Parkir",4.41,4.0
294,Residence Pluit B,Jakarta Pusat,3BR,66.5,9660000,"Keamanan 24 Jam, Kolam Renang, Taman Bermain",2.02,4.0
295,Suites Kuningan B,Tangerang,Studio,28.5,3960000,"Akses Kartu, Minimarket, Parkir",9.87,4.7
296,Apartemen Sudirman B,Jakarta Pusat,1BR,38.6,5890000,"Akses Kartu, Gym, Laundry, Minimarket, Parkir, Taman Bermain",8.26,4.0
297,Apartemen Tebet B,Tangerang,1BR,38.3,3940000,"Akses Kartu, Gym, Taman Bermain",10.83,4.8
298,Kost Eksklusif Casablanca I,Jakarta Selatan,3BR,98.9,12040000,"AC, Furnished, Laundry, Minimarket",6.4,3.3
299,Kost Eksklusif Cikini A,Bekasi,1BR,43.5,3710000,"AC, Furnished, Kolam Renang, Laundry, Minimarket, Parkir",7.22,4.0
300,Kost Eksklusif Grand Galaxy II,Tangerang,1BR,39.7,4290000,"AC, Akses Kartu, Laundry, Taman Bermain",4.41,3.7
301,Tower Bintaro B,Jakarta Utara,3BR,114.1,10310000,"AC, Furnished, Keamanan 24 Jam, Laundry, Minimarket, Taman Bermain",9.43,4.7
302,Kost Eksklusif Royal Mediterania A,Jakarta Barat,1BR,35.6,5250000,"Akses Kartu, Furnished, Laundry, Taman Bermain",2.03,3.3
303,Suites Bintaro II,Jakarta Selatan,Studio,27.9,4550000,"AC, Furnished, Gym, Kolam Renang, Parkir",1.15,4.3
304,Kost Eksklusif Cikini B,Jakarta Utara,Studio,29.3,4140000,"AC, Gym, Kolam Renang, Minimarket, Parkir, Taman Bermain",7.72,4.2
305,Apartemen Senayan A,Jakarta Selatan,2BR,48.4,6160000,"AC, Akses Kartu, Furnished, Gym, Laundry, Minimarket",11.96,4.1
306,Residence Grand Galaxy II,Depok,2BR,73.7,6110000,"Keamanan 24 Jam, Kolam Renang, Laundry, Minimarket",7.32,3.2
307,Suites Kelapa Gading C,Jakarta Barat,2BR,51.9,5470000,"AC, Akses Kartu, Minimarket, Parkir, Taman Bermain",6.21,4.9
308,Residence Margonda I,Bekasi,3BR,123.3,13900000,"Akses Kartu, Furnished, Gym, Laundry, Parkir",5.84,4.9
309,Tower Alam Sutera B,Jakarta Selatan,2BR,48.7,7170000,"Akses Kartu, Keamanan 24 Jam, Minimarket",9.87,4.8
310,Residence Menteng B,Jakarta Utara,1BR,44.1,5210000,"Akses Kartu, Gym, Keamanan 24 Jam, Laundry, Parkir, Taman Bermain",10.93,4.7
311,Kost Eksklusif Margonda I,Depok,1BR,41.2,3800000,"Akses Kartu, Keamanan 24 Jam, Kolam Renang, Laundry, Parkir, Taman Bermain",1.03,4.8
312,Kost Eksklusif Kemang II,Jakarta Utara,3BR,76.9,13110000,"AC, Furnished, Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",6.18,3.7
313,Tower Alam Sutera II,Jakarta Pusat,3BR,128.5,16260000,"Gym, Laundry, Parkir",8.3,4.7
314,Suites Pluit I,Jakarta Pusat,2BR,48.3,9110000,"Furnished, Keamanan 24 Jam, Laundry, Minimarket, Parkir, Taman Bermain",4.45,3.4
315,Suites Tebet B,Jakarta Pusat,1BR,41.8,7220000,"Akses Kartu, Gym, Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",6.71,5.0
316,Apartemen Pondok Indah C,Depok,3BR,84.5,11500000,"Akses Kartu, Gym, Keamanan 24 Jam, Kolam Renang, Parkir, Taman Bermain",6.86,3.5
317,Tower Alam Sutera C,Depok,2BR,52.0,6650000,"Akses Kartu, Keamanan 24 Jam, Laundry, Taman Bermain",4.28,4.3
318,Kost Eksklusif Green Bay I,Bekasi,3BR,122.8,10050000,"Akses Kartu, Furnished, Keamanan 24 Jam, Laundry",3.51,4.7
319,Kost Eksklusif Cikini I,Jakarta Barat,Studio,19.9,2960000,"AC, Keamanan 24 Jam, Laundry, Parkir, Taman Bermain",3.87,3.8
320,Apartemen Casablanca A,Jakarta Pusat,Studio,19.5,3710000,"Keamanan 24 Jam, Laundry, Parkir",8.95,4.9
321,Apartemen Bintaro C,Bekasi,Studio,18.3,3290000,"AC, Gym, Keamanan 24 Jam",9.2,3.5
322,Suites Pondok Indah II,Jakarta Utara,3BR,105.7,8050000,"Akses Kartu, Furnished, Kolam Renang",10.08,4.9
323,Residence Senayan I,Bekasi,1BR,44.5,5240000,"AC, Keamanan 24 Jam, Laundry, Minimarket, Parkir, Taman Bermain",2.21,3.6
324,Apartemen Tebet I,Tangerang,2BR,45.5,5040000,"AC, Akses Kartu, Furnished, Minimarket",6.33,3.6
325,Residence Kuningan I,Tangerang,2BR,60.9,8190000,"Akses Kartu, Laundry, Parkir, Taman Bermain",6.62,4.7
326,Apartemen Kuningan B,Jakarta Timur,2BR,42.8,7500000,"AC, Akses Kartu, Gym, Parkir, Taman Bermain",6.25,3.6
327,Residence Casablanca C,Bekasi,3BR,82.7,11980000,"Akses Kartu, Keamanan 24 Jam, Kolam Renang",2.33,3.5
328,Apartemen Margonda A,Bekasi,Studio,20.8,2800000,"AC, Keamanan 24 Jam, Laundry, Minimarket, Parkir",5.97,4.7
329,Residence Bintaro I,Jakarta Pusat,Studio,21.2,4300000,"Furnished, Gym, Kolam Renang, Laundry, Taman Bermain",2.26,3.5
330,Kost Eksklusif Cikini A,Jakarta Selatan,1BR,35.8,7080000,"AC, Furnished, Gym, Kolam Renang, Laundry, Minimarket",11.79,3.5
331,Apartemen Kuningan C,Jakarta Utara,1BR,34.1,3630000,"Furnished, Laundry, Parkir",8.03,4.2
332,Residence Tebet A,Tangerang,1BR,28.2,3600000,"Furnished, Gym, Keamanan 24 Jam, Kolam Renang, Laundry, Taman Bermain",9.42,4.4
333,Tower Permata C,Depok,Studio,18.7,3790000,"Keamanan 24 Jam, Minimarket, Parkir",8.45,4.6
334,Kost Eksklusif Tebet B,Bekasi,1BR,28.4,4440000,"AC, Akses Kartu, Keamanan 24 Jam, Kolam Renang, Minimarket",8.72,4.1
335,Tower Pluit II,Depok,2BR,65.6,6100000,"Akses Kartu, Gym, Keamanan 24 Jam, Parkir",9.99,3.7
336,Kost Eksklusif Tebet II,Jakarta Selatan,3BR,112.7,18620000,"Akses Kartu, Furnished, Gym, Laundry",4.43,3.3
337,Apartemen Menteng A,Jakarta Utara,2BR,54.3,6290000,"Akses Kartu, Keamanan 24 Jam, Kolam Renang",1.25,4.0
338,Apartemen Sudirman B,Jakarta Barat,Studio,24.9,4170000,"AC, Akses Kartu, Furnished, Kolam Renang, Parkir",7.93,4.3
339,Tower Senayan B,Jakarta Barat,3BR,117.1,7490000,"AC, Akses Kartu, Furnished, Kolam Renang, Minimarket, Taman Bermain",6.74,4.9
340,Apartemen Green Bay C,Jakarta Barat,Studio,26.7,3560000,"Furnished, Keamanan 24 Jam, Laundry, Taman Bermain",2.35,4.3
341,Kost Eksklusif Margonda C,Tangerang,Studio,20.0,2860000,"Akses Kartu, Keamanan 24 Jam, Laundry, Minimarket, Taman Bermain",4.88,3.8
342,Apartemen Cervino II,Tangerang,2BR,61.3,7250000,"Akses Kartu, Furnished, Kolam Renang, Minimarket, Parkir",2.65,3.0
343,Suites Alam Sutera B,Jakarta Pusat,2BR,40.2,11110000,"Akses Kartu, Keamanan 24 Jam, Kolam Renang, Laundry, Taman Bermain",3.85,3.3
344,Residence Tebet II,Depok,1BR,32.0,5530000,"Akses Kartu, Furnished, Gym, Keamanan 24 Jam, Parkir, Taman Bermain",1.19,4.6
345,Suites Casablanca B,Jakarta Barat,2BR,41.3,8230000,"Furnished, Laundry, Taman Bermain",4.64,4.5
346,Suites Pondok Indah II,Jakarta Selatan,3BR,68.5,14150000,"Akses Kartu, Furnished, Keamanan 24 Jam, Kolam Renang, Parkir",6.82,4.2
347,Tower Senayan I,Jakarta Barat,1BR,35.3,5470000,"AC, Gym, Kolam Renang, Minimarket, Parkir",1.86,4.0
348,Suites Margonda II,Jakarta Pusat,1BR,36.2,5110000,"AC, Gym, Laundry, Parkir",6.9,3.2
349,Kost Eksklusif Pondok Indah II,Tangerang,3BR,88.7,8520000,"AC, Furnished, Keamanan 24 Jam",4.2,3.3
350,Tower Sudirman C,Jakarta Selatan,1BR,31.4,5990000,"Keamanan 24 Jam, Kolam Renang, Parkir",10.25,4.4
351,Suites Royal Mediterania B,Jakarta Barat,2BR,55.8,5090000,"AC, Akses Kartu, Minimarket, Parkir",2.59,4.4
352,Apartemen Senayan I,Jakarta Selatan,3BR,102.9,14880000,"AC, Furnished, Kolam Renang, Parkir, Taman Bermain",2.13,4.3
353,Suites Royal Mediterania II,Depok,Studio,18.2,4230000,"Akses Kartu, Gym, Keamanan 24 Jam, Laundry",7.83,3.2
354,Apartemen Alam Sutera C,Jakarta Timur,3BR,101.4,15780000,"Furnished, Gym, Laundry, Minimarket, Taman Bermain",0.57,3.7
355,Kost Eksklusif Pluit B,Jakarta Utara,1BR,44.9,5950000,"AC, Kolam Renang, Laundry",3.38,3.3
356,Tower Royal Mediterania C,Tangerang,1BR,29.5,4460000,"Akses Kartu, Keamanan 24 Jam, Laundry, Parkir",11.53,3.9
357,Residence Green Bay B,Jakarta Pusat,1BR,39.1,6620000,"AC, Akses Kartu, Keamanan 24 Jam, Parkir",2.51,3.6
358,Tower Thamrin B,Jakarta Barat,1BR,33.4,5700000,"AC, Furnished, Laundry, Parkir, Taman Bermain",8.75,3.2
359,Apartemen Alam Sutera A,Jakarta Pusat,Studio,27.1,4670000,"Akses Kartu, Furnished, Parkir, Taman Bermain",6.85,4.4
360,Residence Menteng B,Bekasi,1BR,36.5,5010000,"Gym, Keamanan 24 Jam, Laundry, Minimarket, Parkir",8.57,3.1
361,Kost Eksklusif Tebet C,Jakarta Selatan,2BR,73.3,7860000,"Gym, Keamanan 24 Jam, Laundry, Minimarket",2.51,4.7
362,Suites Kemang B,Jakarta Timur,3BR,91.3,7330000,"AC, Furnished, Kolam Renang, Laundry, Minimarket, Parkir",8.85,4.0
363,Suites Cervino C,Tangerang,Studio,24.7,3530000,"AC, Minimarket, Parkir",7.6,3.9
364,Kost Eksklusif Casablanca B,Tangerang,2BR,61.5,5220000,"Furnished, Gym, Minimarket, Taman Bermain",6.25,4.6
365,Residence Casablanca A,Jakarta Pusat,3BR,91.9,13110000,"AC, Gym, Keamanan 24 Jam, Minimarket",7.12,3.2
366,Residence Margonda II,Bekasi,2BR,43.0,7830000,"Akses Kartu, Kolam Renang, Laundry, Taman Bermain",8.75,4.7
367,Residence Sudirman II,Jakarta Pusat,1BR,42.8,5300000,"AC, Gym, Keamanan 24 Jam, Kolam Renang, Minimarket",5.09,4.5
368,Apartemen Royal Mediterania II,Jakarta Selatan,3BR,97.3,14960000,"Akses Kartu, Furnished, Laundry, Minimarket, Parkir, Taman Bermain",7.34,3.0
369,Tower Senayan A,Jakarta Utara,1BR,28.8,3870000,"AC, Keamanan 24 Jam, Kolam Renang",7.87,3.2
370,Tower Margonda C,Jakarta Pusat,1BR,39.4,6730000,"Furnished, Kolam Renang, Minimarket, Taman Bermain",7.18,4.8
371,Kost Eksklusif Menteng B,Jakarta Barat,3BR,119.8,7520000,"AC, Furnished, Laundry",5.7,4.2
372,Kost Eksklusif Alam Sutera B,Jakarta Barat,Studio,23.8,3880000,"AC, Furnished, Laundry, Minimarket, Taman Bermain",11.21,4.2
373,Apartemen Menteng II,Bekasi,3BR,97.0,8440000,"Akses Kartu, Gym, Kolam Renang, Parkir, Taman Bermain",7.35,5.0
374,Apartemen Cervino C,Tangerang,Studio,22.0,3620000,"AC, Akses Kartu, Parkir",7.69,4.0
375,Tower Tebet I,Depok,Studio,19.4,3170000,"Furnished, Keamanan 24 Jam, Parkir",4.81,4.6
376,Kost Eksklusif Permata A,Jakarta Pusat,3BR,75.1,14670000,"AC, Furnished, Keamanan 24 Jam, Kolam Renang, Laundry, Minimarket",10.76,3.4
377,Suites Kuningan II,Depok,2BR,42.3,5600000,"AC, Akses Kartu, Keamanan 24 Jam, Laundry, Taman Bermain",10.1,3.2
378,Kost Eksklusif Cervino B,Jakarta Utara,2BR,64.8,6090000,"AC, Furnished, Gym, Minimarket",1.13,3.2
379,Kost Eksklusif Cervino C,Jakarta Selatan,1BR,43.5,5550000,"Akses Kartu, Furnished, Minimarket, Parkir",5.84,3.3
380,Kost Eksklusif Senayan C,Jakarta Barat,1BR,31.5,3590000,"AC, Kolam Renang, Taman Bermain",4.71,3.9
381,Tower Permata C,Jakarta Selatan,Studio,24.2,4820000,"Furnished, Gym, Keamanan 24 Jam, Parkir, Taman Bermain",6.97,4.5
382,Kost Eksklusif Margonda C,Jakarta Barat,2BR,45.2,7390000,"Akses Kartu, Furnished, Parkir",0.28,3.3
383,Apartemen Bintaro A,Jakarta Utara,1BR,30.9,4280000,"Furnished, Keamanan 24 Jam, Kolam Renang, Minimarket, Parkir, Taman Bermain",10.72,3.2
384,Apartemen Pondok Indah II,Tangerang,1BR,40.0,5730000,"AC, Furnished, Gym, Keamanan 24 Jam, Minimarket, Taman Bermain",7.59,3.3
385,Tower Bintaro B,Bekasi,Studio,23.5,3870000,"AC, Akses Kartu, Gym, Keamanan 24 Jam, Minimarket, Parkir",8.55,4.4
386,Kost Eksklusif Green Bay B,Depok,2BR,55.9,5120000,"Akses Kartu, Keamanan 24 Jam, Laundry, Minimarket, Taman Bermain",5.76,4.0
387,Residence Tebet I,Tangerang,Studio,21.9,3800000,"AC, Akses Kartu, Gym, Laundry, Parkir, Taman Bermain",9.53,3.1
388,Kost Eksklusif Royal Mediterania I,Jakarta Timur,3BR,116.0,10480000,"Gym, Keamanan 24 Jam, Kolam Renang, Minimarket",9.47,3.7
